deal_amount,contract_year,contract_month,contract_day,floor,plottage,land_use,build_year,building_age,building_type,building_detail_type,building_use,building_area,sig_cd,emd_cd,pnu,longitude,latitude,plat_area,arch_area,tot_area,elev_cnt,parklot_cnt,base_year_x,sig_store_cnt,sig_sales_amt,sig_sales_cnt,sig_delivery_amt,sig_delivery_cnt,sig_sales_restaurant_amt,sig_sales_service_amt,sig_sales_retail_amt,sig_sales_etc_amt,sig_sales_wk_amt,sig_sales_we_amt,sig_sales_morning_amt,sig_sales_afternoon_amt,sig_sales_evening_amt,sig_sales_night_amt,sig_sales_male_amt,sig_sales_female_amt,sig_sales_age20_amt,sig_sales_age30_amt,sig_sales_age40_amt,sig_sales_age50_amt,sig_sales_age60_amt,base_year_y,emd_store_cnt,emd_sales_amt,emd_sales_cnt,emd_delivery_amt,emd_delivery_cnt,emd_sales_restaurant_amt,emd_sales_service_amt,emd_sales_retail_amt,emd_sales_etc_amt,emd_sales_wk_amt,emd_sales_we_amt,emd_sales_morning_amt,emd_sales_afternoon_amt,emd_sales_evening_amt,emd_sales_night_amt,emd_sales_male_amt,emd_sales_female_amt,emd_sales_age20_amt,emd_sales_age30_amt,emd_sales_age40_amt,emd_sales_age50_amt,emd_sales_age60_amt,plp_amt,subway_dist,subway_500_cnt,subway_1000_cnt,base_year,walk_tot_cnt,walk_male_cnt,walk_female_cnt,walk_age_u20_cnt,walk_age_20_cnt,walk_age_30_cnt,walk_age_40_cnt,walk_age_50_cnt,walk_age_o50_cnt,walk_morning_cnt,walk_afternoon_cnt,walk_evening_cnt,walk_time_night_cnt
1090000000,2021,4,20,4,,일반상업,2009,12.0,집합,공장/창고,공장,120.53,11140,11140159,1114015900100420000,126.99251891479467,37.563820788135864,1922.8,1147.69,17947.78,3,47,2021,158739,136847229383772.0,2091165731.0,0.0,0.0,2265498130971.0,39833779309053.0,11514255523710.0,83233696420038.0,120972324851512.0,15874904593045.0,27398518562473.0,80485483009681.0,17598484374611.0,11364446046558.0,63780768259248.0,62986267126002.0,12040073232091.0,29467162419578.0,40293607397362.0,29019903665277.0,15946288670940.0,2021,2000,39933589827.0,2606274.0,0.0,0.0,23177260949.0,3615012177.0,8529372311.0,4611944390.0,34250415422.0,5683174774.0,3873354731.0,22663446731.0,11687309684.0,1709692363.0,22705394973.0,15065636161.0,8086688891.0,8880953882.0,8520426946.0,8421692471.0,3861268945.0,18460000.0,215.0,2.0,5.0,2021,24336223.038389547981,10931949.65,7928059.38,454099.73,3545758.43,3428906.11,3460250.34,3859391.35,411115792.39,3016687.41,8189311.92,5278321.21,2375688.58
400000000,2021,12,13,1,,중심상업,2008,13.0,집합,상가/사무실,제2종근린생활,10.53,11140,11140105,1114010500101990040,126.98386806204908,37.56470999106414,2776.1,1665.2,19135.844,3,75,2021,158739,136847229383772.0,2091165731.0,0.0,0.0,2265498130971.0,39833779309053.0,11514255523710.0,83233696420038.0,120972324851512.0,15874904593045.0,27398518562473.0,80485483009681.0,17598484374611.0,11364446046558.0,63780768259248.0,62986267126002.0,12040073232091.0,29467162419578.0,40293607397362.0,29019903665277.0,15946288670940.0,2021,3629,38077718120902.0,333459294.0,0.0,0.0,63657210297.0,3722099390790.0,380310217884.0,33911651301931.0,37400458382457.0,677259740740.0,11207830892017.0,22145339714659.0,3957187661273.0,766953979500.0,16950234285021.0,18196646445656.0,1477833290326.0,6415006489786.0,12167949909939.0,9725637903708.0,5360453136923.0,29310000.0,163.0,1.0,6.0,2021,27492910.778659108885,11466711.51,10367508.10,694418.51,4455390.22,5375321.41,4498790.07,3628520.17,318177970.52,3343409.79,10621578.85,5965905.52,1903325.94
340000000,2022,4,7,2,,일반상업,2021,1.0,집합,상가/사무실,제2종근린생활,46.55,11140,11140132,1114013200103340000,126.99751945474308,37.56291931102084,1383.9,986.82,15894.49,3,47,2022,164664,151028677478982.0,2364907941.0,4648226101.0,231234.0,2962804511857.0,44132996731158.0,16485161470763.0,87447714765204.0,132175006442247.0,18853671737065.0,36824261527748.0,80054427565171.0,19827695509595.0,14322529463917.0,69898975546382.0,71466687169153.0,12234526782973.0,31711372647629.0,44802547290514.0,33669351724928.0,18947864269492.0,2022,2136,32139674181.0,1368771.0,52567288.0,2680.0,20493645557.0,2570444514.0,7254174752.0,1821409358.0,27016938276.0,5122750781.0,2368322301.0,14958228062.0,10590426688.0,4222777004.0,20354652159.0,9008101245.0,5788072766.0,5255242510.0,6375060494.0,7192543123.0,4751834509.0,14860000.0,291.0,2.0,5.0,2022,18803981.961860471049,11005036.26,7798945.54,792399.93,3662302.74,2686880.59,2855261.44,3853206.02,495367005.92,3004039.05,7765935.96,4822728.55,3211278.82
688500000,2022,4,7,1,,일반상업,2021,1.0,집합,상가/사무실,숙박,43.55,11140,11140132,1114013200103340000,126.99751945474308,37.56291931102084,1383.9,986.82,15894.49,3,47,2022,164664,151028677478982.0,2364907941.0,4648226101.0,231234.0,2962804511857.0,44132996731158.0,16485161470763.0,87447714765204.0,132175006442247.0,18853671737065.0,36824261527748.0,80054427565171.0,19827695509595.0,14322529463917.0,69898975546382.0,71466687169153.0,12234526782973.0,31711372647629.0,44802547290514.0,33669351724928.0,18947864269492.0,2022,2136,32139674181.0,1368771.0,52567288.0,2680.0,20493645557.0,2570444514.0,7254174752.0,1821409358.0,27016938276.0,5122750781.0,2368322301.0,14958228062.0,10590426688.0,4222777004.0,20354652159.0,9008101245.0,5788072766.0,5255242510.0,6375060494.0,7192543123.0,4751834509.0,14860000.0,291.0,2.0,5.0,2022,18803981.961860471049,11005036.26,7798945.54,792399.93,3662302.74,2686880.59,2855261.44,3853206.02,495367005.92,3004039.05,7765935.96,4822728.55,3211278.82
235000000,2022,3,5,13,,일반상업,2005,17.0,집합,상가/사무실,숙박,43.34,11140,11140133,1114013300100220005,127.00074224628915,37.56385078909955,1216.0,729.47,11622.471000000001,2,48,2022,164664,151028677478982.0,2364907941.0,4648226101.0,231234.0,2962804511857.0,44132996731158.0,16485161470763.0,87447714765204.0,132175006442247.0,18853671737065.0,36824261527748.0,80054427565171.0,19827695509595.0,14322529463917.0,69898975546382.0,71466687169153.0,12234526782973.0,31711372647629.0,44802547290514.0,33669351724928.0,18947864269492.0,2022,1000,24789898801.0,967254.0,60929244.0,3470.0,12272819202.0,7505634803.0,3952624052.0,1058820744.0,20026538404.0,4763360397.0,1899995991.0,14291901939.0,6165419324.0,2432552486.0,14546180312.0,9361553712.0,6830648946.0,5117746952.0,4213916455.0,4919784616.0,2825637057.0,10720000.0,347.0,2.0,6.0,2022,16972138.135455565669,9533296.89,7438841.25,779009.01,3088476.01,2908660.82,2587554.24,3177488.61,442936024.61,2873231.99,6662418.51,3959229.24,3477258.12
155000000,2021,7,7,8,,일반상업,2005,16.0,집합,상가/사무실,숙박,32.68,11140,11140133,1114013300100220005,127.00074224628915,37.56385078909955,1216.0,729.47,11622.471000000001,2,48,2021,158739,136847229383772.0,2091165731.0,0.0,0.0,2265498130971.0,39833779309053.0,11514255523710.0,83233696420038.0,120972324851512.0,15874904593045.0,27398518562473.0,80485483009681.0,17598484374611.0,11364446046558.0,63780768259248.0,62986267126002.0,12040073232091.0,29467162419578.0,40293607397362.0,29019903665277.0,15946288670940.0,2021,1045,21948784624.0,873043.0,0.0,0.0,8965169860.0,7755753110.0,4479135693.0,748725961.0,17859883831.0,4088901046.0,2032718806.0,13144030627.0,5747313319.0,1024702133.0,13121419062.0,7788312274.0,5462816218.0,4910049258.0,3690178871.0,4832988905.0,2013698080.0,10720000.0,347.0,2.0,6.0,2021,16139276.145647185139,7116390.63,5113760.45,582905.69,2198948.29,2091381.76,2016063.35,2426930.42,291365244.12,2108271.02,5048345.26,2768796.80,2304737.58
169500000,2022,3,22,8,,일반상업,2005,17.0,집합,상가/사무실,숙박,32.68,11140,11140133,1114013300100220005,127.00074224628915,37.56385078909955,1216.0,729.47,11622.471000000001,2,48,2022,164664,151028677478982.0,2364907941.0,4648226101.0,231234.0,2962804511857.0,44132996731158.0,16485161470763.0,87447714765204.0,132175006442247.0,18853671737065.0,36824261527748.0,80054427565171.0,19827695509595.0,14322529463917.0,69898975546382.0,71466687169153.0,12234526782973.0,31711372647629.0,44802547290514.0,33669351724928.0,18947864269492.0,2022,1000,24789898801.0,967254.0,60929244.0,3470.0,12272819202.0,7505634803.0,3952624052.0,1058820744.0,20026538404.0,4763360397.0,1899995991.0,14291901939.0,6165419324.0,2432552486.0,14546180312.0,9361553712.0,6830648946.0,5117746952.0,4213916455.0,4919784616.0,2825637057.0,10720000.0,347.0,2.0,6.0,2022,16972138.135455565669,9533296.89,7438841.25,779009.01,3088476.01,2908660.82,2587554.24,3177488.61,442936024.61,2873231.99,6662418.51,3959229.24,3477258.12
385000000,2022,4,20,3,,제2종일반주거,2008,14.0,집합,상가/사무실,제2종근린생활,33.29,11140,11140143,1114014300100380052,127.00924761642591,37.562334941211624,128.84,51.89,133.41,0,0,2022,164664,151028677478982.0,2364907941.0,4648226101.0,231234.0,2962804511857.0,44132996731158.0,16485161470763.0,87447714765204.0,132175006442247.0,18853671737065.0,36824261527748.0,80054427565171.0,19827695509595.0,14322529463917.0,69898975546382.0,71466687169153.0,12234526782973.0,31711372647629.0,44802547290514.0,33669351724928.0,18947864269492.0,2022,733,45241573406.0,884732.0,24272678.0,1314.0,18233655544.0,5781214931.0,21226301405.0,401526.0,34902219191.0,10339354215.0,4997174169.0,28050839690.0,10470023173.0,1723522765.0,28626238003.0,15929825939.0,5302086279.0,8603570028.0,10762994574.0,10922879353.0,8964533711.0,4905000.0,356.0,1.0,5.0,2022,18862989.415089211665,9438780.72,9424208.43,1840456.28,3046699.67,3014753.82,2729277.03,3253026.84,497624545.20,2690235.72,6194199.88,5100126.51,4878427.72
135000000,2022,6,10,5,,일반상업,2005,17.0,집합,상가/사무실,숙박,25.49,11140,11140151,1114015100100770002,127.0033327683838,37.56652695204875,1472.14,802.49,13222.02,2,54,2022,164664,151028677478982.0,2364907941.0,4648226101.0,231234.0,2962804511857.0,44132996731158.0,16485161470763.0,87447714765204.0,132175006442247.0,18853671737065.0,36824261527748.0,80054427565171.0,19827695509595.0,14322529463917.0,69898975546382.0,71466687169153.0,12234526782973.0,31711372647629.0,44802547290514.0,33669351724928.0,18947864269492.0,2022,2172,29678186487.0,1056837.0,1879071.0,146.0,4537964758.0,7949182404.0,16263880304.0,927159021.0,22890180767.0,6788006395.0,4498067218.0,18690228700.0,4264417642.0,2225419701.0,16007820520.0,13582936520.0,3640938780.0,5819863032.0,5379487833.0,6558651640.0,8191815754.0,18110000.0,252.0,1.0,4.0,2022,18550412.880986031155,9470802.50,9079610.79,674925.89,2848898.87,3024631.44,2739407.15,3250920.00,600971449.89,2732270.43,7521253.61,4879920.30,3416968.48
55000000,2020,10,28,5,,일반상업,1996,24.0,집합,상가/사무실,판매,4.33,11140,11140162,1114016200102130008,127.01256413117625,37.56895475323254,1580.0,867.62,17173.11,5,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18870000.0,389.0,2.0,4.0,2020,31753740.996904757986,13248762.23,11458703.46,1290911.13,4297455.98,5084447.70,4290317.22,4192093.52,555223984.47,3084528.99,7924616.45,5735509.57,7962810.77
812940000,2022,6,27,1,,제3종일반주거,2020,2.0,집합,상가/사무실,제1종근린생활,82.15,11140,11140162,1114016200102470008,127.01391218659316,37.5648017622673,421.69,202.25,2198.86,1,31,2022,164664,151028677478982.0,2364907941.0,4648226101.0,231234.0,2962804511857.0,44132996731158.0,16485161470763.0,87447714765204.0,132175006442247.0,18853671737065.0,36824261527748.0,80054427565171.0,19827695509595.0,14322529463917.0,69898975546382.0,71466687169153.0,12234526782973.0,31711372647629.0,44802547290514.0,33669351724928.0,18947864269492.0,2022,25441,584062872016.0,21974566.0,1987933969.0,98434.0,191719880718.0,184736659793.0,195521303059.0,12085028446.0,440959406344.0,143103479297.0,78362518822.0,312046648617.0,148232562294.0,45423559777.0,278677630166.0,266444232820.0,69600214389.0,115375625823.0,115893017489.0,131197645944.0,113055359338.0,12590000.0,214.0,2.0,5.0,2022,25291114.294894557506,13147096.14,12144017.94,2449570.98,3796515.95,4646433.94,3790976.40,4666560.89,594105582.45,3384767.82,7430431.91,6685961.34,7789953.52
720000000,2022,8,12,14,,일반상업,1985,37.0,집합,상가/사무실,업무,55.34,11140,11140166,1114016600100750095,126.97405880048473,37.562663984044036,,,,,,2022,164664,151028677478982.0,2364907941.0,4648226101.0,231234.0,2962804511857.0,44132996731158.0,16485161470763.0,87447714765204.0,132175006442247.0,18853671737065.0,36824261527748.0,80054427565171.0,19827695509595.0,14322529463917.0,69898975546382.0,71466687169153.0,12234526782973.0,31711372647629.0,44802547290514.0,33669351724928.0,18947864269492.0,2022,3384,534629353472.0,7548874.0,28211061.0,1296.0,111182674104.0,372922138799.0,46941760081.0,3582780488.0,497021089310.0,37608264725.0,86023212703.0,350984040909.0,81042711126.0,16571771587.0,311596182480.0,216111347076.0,58744339983.0,125727570447.0,136425239907.0,145836889202.0,60973490019.0,31910000.0,38.0,1.0,4.0,2022,24926660.980413091254,12756211.49,12170449.79,1740711.55,3151679.50,5111781.26,5730153.11,4689896.95,450243818.19,4462870.79,11413353.26,6176636.57,2873799.85
172000000,2022,12,13,6,,일반상업,2007,15.0,집합,상가/사무실,숙박,40.65,11140,11140168,1114016800101510000,126.97206543317051,37.56017658752781,5885.8,2973.92,70085.48,14,379,2022,164664,151028677478982.0,2364907941.0,4648226101.0,231234.0,2962804511857.0,44132996731158.0,16485161470763.0,87447714765204.0,132175006442247.0,18853671737065.0,36824261527748.0,80054427565171.0,19827695509595.0,14322529463917.0,69898975546382.0,71466687169153.0,12234526782973.0,31711372647629.0,44802547290514.0,33669351724928.0,18947864269492.0,2022,7774,42110669055197.0,513784191.0,23925934.0,926.0,38394477024.0,21219308881942.0,1774425609268.0,19078540086963.0,34456029105176.0,7654640038769.0,7957819557019.0,21545120019088.0,6654892670626.0,5952810932138.0,16045968526717.0,19066050481871.0,4811069320105.0,10001414815009.0,10441023370481.0,6480546994568.0,3377964508427.0,28060000.0,355.0,2.0,5.0,2022,20157495.238929804495,11065990.72,9091504.61,673587.77,2702814.48,4396772.88,4838274.24,3871826.56,367400983.51,3841287.27,9043184.57,4852256.02,2420767.18
230000000,2020,6,25,19,,일반상업,2007,13.0,집합,상가/사무실,숙박,42.19,11140,11140168,1114016800101510000,126.97206543317051,37.56017658752781,5885.8,2973.92,70085.48,14,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28060000.0,355.0,2.0,5.0,2020,20541637.867866819831,8857523.68,6953062.54,557482.46,2131235.46,3520127.43,3872120.64,3014171.94,271519197.39,3060821.52,7180643.95,3801608.42,1767512.26
